theta 2,theta 3,theta 4,theta 5,theta 6
0,132.851590773212,12.7675418161801,71.5483572387015,157.194890834111
5,134.286717631073,15.6013580000128,72.9725703033717,158.02430878257
10,135.663325150954,18.5434068404715,74.4723761958725,158.918104911012
15,136.981303589459,21.5757248379587,76.045969325332,159.864494680524
20,138.240353704739,24.6824344795082,77.6908541791589,160.853408035249
25,139.440015080047,27.8494212580664,79.4039074733022,161.876296573067
30,140.579680631839,31.0640341948409,81.1814211012919,162.925946909793
35,141.658596945809,34.3148143310705,83.01912825577,163.99630616945
40,142.675850654593,37.5912509120872,84.9122141556311,165.082321760606
45,143.630341191845,40.8835623477771,86.855311826441,166.179795396182
50,144.520740063354,44.1824976808518,88.8424824299255,167.285250098033
55,145.345436381485,47.4791536199381,90.8671787113687,168.395808281858
60,146.10246784798,50.7648018530731,92.9221892013066,169.509078686285
65,146.789435661688,54.0307210900897,94.9995598167538,170.62304972899
70,147.402963634252,57.2677096911563,97.0903312023566,171.735499928351
75,147.940536106794,60.4673420729768,99.1850544407397,172.846102900356
80,148.397008336555,63.6193357843968,101.272635385054,173.952519933855
85,148.76695750381,66.713177981028,103.340675965986,175.053245836644
90,149.043742298185,69.7373994568264,105.375112951909,176.14663689861
95,149.219396894533,72.6794300202438,107.360165315963,177.230867877545
100,149.284627671191,75.5254883190918,109.278407325531,178.303955600935
105,149.224294365653,78.2559019827046,111.103168919782,179.361368227418
110,149.026570802227,80.8549754955956,112.814568248304,180.401164578151
115,148.67199471226,83.2989092687306,114.380591739828,181.41812171157
120,148.138145393052,85.5609182032632,115.76550314468,182.406508060592
125,147.397762596433,87.6089350554026,116.926733101485,183.359317657216
130,146.417959079026,89.4043526775429,117.813629244299,184.268180141571
135,145.159525057059,90.9006148873036,118.366259186425,185.123378926195
140,143.576587653071,92.0418290559254,118.514573991741,185.914059378025
145,141.617267542296,92.7618272765881,118.178633800991,186.628839900993
150,139.226295031522,92.984495877905,117.271028897469,187.257036464057
155,136.351964427025,92.6277689347258,115.704716991474,187.790795684313
160,132.949778569224,91.6057764165503,113.395328905586,188.225853210383
165,129.011054493244,89.8533853786647,110.297605155147,188.567030351472
170,124.567514881632,87.3345816939739,106.40820934947,188.826081653956
175,119.717829364799,84.0723437167228,101.80081868444,189.022833136136
180,114.628079529512,80.1597584706309,96.6299608512983,189.179830320832
185,109.517581714713,75.7566796905683,91.1204227867746,189.316050650673
190,104.622654048226,71.061903956212,85.5308973617851,189.440270110619
195,100.153919767797,66.272273753415,80.1079942109553,189.547227697003
200,96.2646238207864,61.5463997508592,75.0493088810574,189.617516182842
205,93.0396885020786,56.9858945555856,70.4870873576192,189.620267146168
210,90.5018329760395,52.6334216252967,66.4902276209122,189.515944414406
215,88.6345811047096,48.4925616829191,63.0840458294323,189.264794211117
220,87.3915762539846,44.5344857223395,60.2581796009072,188.825595386448
225,86.7131547280955,40.7123088784601,57.9834362294547,188.158067854578
230,86.5404930187762,36.9841536644306,56.2233962979689,187.233586224863
235,86.8159595706649,33.3138968511201,54.935521020313,186.033731792911
240,87.4861883345189,29.6791291537881,54.0738374180715,184.55469275104
245,88.5020039088195,26.074032964777,53.5893112891774,182.809041677532
250,89.8175370390435,22.5094598135552,53.4301458316247,180.825388166318
255,91.3892427304057,19.0100477906792,53.5428963171456,178.645417898815
260,93.1750444044545,15.6099546219497,53.8743117964015,176.319685626869
265,95.1343089435265,12.3497648060916,54.3734710590801,173.903591710217
270,97.2282370123861,9.27333874962009,54.9940447218988,171.453493033822
275,99.4202272901927,6.42575008067733,55.6960917886246,169.024396129832
280,101.676324003524,3.85104203431557,56.4469723229468,166.667904287263
285,103.965803231099,1.59316310151392,57.222252566366,164.432887833768
290,106.261559503025,-0.307947404030796,58.005380019515,162.362986506144
295,108.540569937802,-1.81754204888352,58.7874838419083,160.496150013032
300,110.784204833522,-2.90903762355279,59.5665156539467,158.862854885122
305,112.978347835498,-3.56662976220406,60.3460489837842,157.484444331963
310,115.113218742411,-3.78680018185897,61.1337582123012,156.372169026798
315,117.18289942262,-3.57838319060592,61.9398170503624,155.527189734287
320,119.184610837086,-2.96121365310995,62.7754098153229,154.94155140751
325,121.117846226431,-1.96359069030593,63.6515022462421,154.600028779828
330,122.983527055557,-0.619221687091919,64.5779947354041,154.482407117543
335,124.783300747133,1.03568710864442,65.563253639222,154.565713067335
340,126.519027191175,2.96479201205241,66.6139386094993,154.826085981158
345,128.192450016805,5.13328033224532,67.7350274227723,155.240164311005
350,129.805019496468,7.50888047648998,68.9299500538219,155.785993796751
355,131.357824339714,10.0623417128888,70.2007682158062,156.44353698664
360,132.851590773212,12.7675418161801,71.5483572387015,157.194890834111
